model,factor,count
C310,checklist_non_compliance,26
C310,plan_continuation_bias,22
C310,low_time_in_type,17
C310,maintenance_induced_failure,16
C310,task_saturation,11
C310,informal_or_incomplete_training,11
C310,aging_aircraft_degradation,10
C310,incomplete_troubleshooting,9
C310,assumption_of_performance,7
C310,single_engine_performance_assumption,7
C310,icing_performance_degradation,6
C310,lapsed_recency,6
C310,deferred_discrepancy_normalization,3
C310,normalization_of_deviance,2
C310,weight_balance_misjudgment,1
C310,density_altitude_underestimation,1
C310,high_time_complacency,0
C320,plan_continuation_bias,5
C320,informal_or_incomplete_training,4
C320,aging_aircraft_degradation,3
C320,maintenance_induced_failure,3
C320,single_engine_performance_assumption,2
C320,low_time_in_type,2
C320,lapsed_recency,2
C320,assumption_of_performance,1
C320,checklist_non_compliance,1
C320,task_saturation,1
C320,incomplete_troubleshooting,1
C320,weight_balance_misjudgment,1
C320,density_altitude_underestimation,1
C320,normalization_of_deviance,0
C320,deferred_discrepancy_normalization,0
C320,icing_performance_degradation,0
C320,high_time_complacency,0
C340,plan_continuation_bias,12
C340,checklist_non_compliance,7
C340,assumption_of_performance,5
C340,normalization_of_deviance,4
C340,low_time_in_type,4
C340,task_saturation,3
C340,maintenance_induced_failure,3
C340,icing_performance_degradation,3
C340,informal_or_incomplete_training,3
C340,density_altitude_underestimation,2
C340,aging_aircraft_degradation,1
C340,weight_balance_misjudgment,1
C340,single_engine_performance_assumption,1
C340,lapsed_recency,1
C340,incomplete_troubleshooting,0
C340,deferred_discrepancy_normalization,0
C340,high_time_complacency,0
C402,plan_continuation_bias,6
C402,maintenance_induced_failure,3
C402,checklist_non_compliance,2
C402,aging_aircraft_degradation,2
C402,task_saturation,1
C402,incomplete_troubleshooting,1
C402,deferred_discrepancy_normalization,1
C402,icing_performance_degradation,1
C402,low_time_in_type,1
C402,normalization_of_deviance,0
C402,assumption_of_performance,0
C402,weight_balance_misjudgment,0
C402,density_altitude_underestimation,0
C402,single_engine_performance_assumption,0
C402,high_time_complacency,0
C402,lapsed_recency,0
C402,informal_or_incomplete_training,0
