operation_type,factor,count
91,plan_continuation_bias,38
91,checklist_non_compliance,31
91,low_time_in_type,23
91,maintenance_induced_failure,21
91,informal_or_incomplete_training,18
91,aging_aircraft_degradation,15
91,task_saturation,14
91,assumption_of_performance,11
91,incomplete_troubleshooting,10
91,single_engine_performance_assumption,10
91,icing_performance_degradation,9
91,lapsed_recency,9
91,normalization_of_deviance,6
91,density_altitude_underestimation,4
91,deferred_discrepancy_normalization,3
91,weight_balance_misjudgment,3
91,high_time_complacency,0
135,plan_continuation_bias,7
135,checklist_non_compliance,5
135,maintenance_induced_failure,4
135,assumption_of_performance,2
135,task_saturation,2
135,aging_aircraft_degradation,1
135,incomplete_troubleshooting,1
135,deferred_discrepancy_normalization,1
135,icing_performance_degradation,1
135,low_time_in_type,1
135,normalization_of_deviance,0
135,weight_balance_misjudgment,0
135,density_altitude_underestimation,0
135,single_engine_performance_assumption,0
135,high_time_complacency,0
135,lapsed_recency,0
135,informal_or_incomplete_training,0
