phase_of_flight,factor,count
Approach,plan_continuation_bias,23
Approach,checklist_non_compliance,18
Approach,low_time_in_type,9
Approach,informal_or_incomplete_training,7
Approach,task_saturation,6
Approach,icing_performance_degradation,6
Approach,lapsed_recency,5
Approach,single_engine_performance_assumption,4
Approach,normalization_of_deviance,3
Approach,assumption_of_performance,2
Approach,aging_aircraft_degradation,2
Approach,incomplete_troubleshooting,1
Approach,maintenance_induced_failure,1
Approach,weight_balance_misjudgment,1
Approach,high_time_complacency,1
Approach,deferred_discrepancy_normalization,0
Approach,density_altitude_underestimation,0
Cruise,plan_continuation_bias,11
Cruise,checklist_non_compliance,6
Cruise,informal_or_incomplete_training,6
Cruise,assumption_of_performance,4
Cruise,low_time_in_type,3
Cruise,normalization_of_deviance,2
Cruise,icing_performance_degradation,2
Cruise,lapsed_recency,2
Cruise,task_saturation,1
Cruise,incomplete_troubleshooting,1
Cruise,deferred_discrepancy_normalization,1
Cruise,maintenance_induced_failure,1
Cruise,aging_aircraft_degradation,0
Cruise,weight_balance_misjudgment,0
Cruise,density_altitude_underestimation,0
Cruise,single_engine_performance_assumption,0
Cruise,high_time_complacency,0
Descent,plan_continuation_bias,2
Descent,deferred_discrepancy_normalization,1
Descent,maintenance_induced_failure,1
Descent,icing_performance_degradation,1
Descent,informal_or_incomplete_training,1
Descent,normalization_of_deviance,0
Descent,assumption_of_performance,0
Descent,checklist_non_compliance,0
Descent,task_saturation,0
Descent,aging_aircraft_degradation,0
Descent,incomplete_troubleshooting,0
Descent,weight_balance_misjudgment,0
Descent,density_altitude_underestimation,0
Descent,single_engine_performance_assumption,0
Descent,low_time_in_type,0
Descent,high_time_complacency,0
Descent,lapsed_recency,0
Go_Around,plan_continuation_bias,3
Go_Around,checklist_non_compliance,3
Go_Around,low_time_in_type,3
Go_Around,task_saturation,2
Go_Around,single_engine_performance_assumption,2
Go_Around,assumption_of_performance,1
Go_Around,aging_aircraft_degradation,1
Go_Around,incomplete_troubleshooting,1
Go_Around,icing_performance_degradation,1
Go_Around,lapsed_recency,1
Go_Around,informal_or_incomplete_training,1
Go_Around,normalization_of_deviance,0
Go_Around,deferred_discrepancy_normalization,0
Go_Around,maintenance_induced_failure,0
Go_Around,weight_balance_misjudgment,0
Go_Around,density_altitude_underestimation,0
Go_Around,high_time_complacency,0
Initial_Climb,plan_continuation_bias,9
Initial_Climb,checklist_non_compliance,7
Initial_Climb,maintenance_induced_failure,5
Initial_Climb,low_time_in_type,5
Initial_Climb,single_engine_performance_assumption,4
Initial_Climb,assumption_of_performance,3
Initial_Climb,task_saturation,3
Initial_Climb,incomplete_troubleshooting,2
Initial_Climb,weight_balance_misjudgment,2
Initial_Climb,density_altitude_underestimation,2
Initial_Climb,informal_or_incomplete_training,2
Initial_Climb,normalization_of_deviance,1
Initial_Climb,aging_aircraft_degradation,1
Initial_Climb,lapsed_recency,1
Initial_Climb,deferred_discrepancy_normalization,0
Initial_Climb,icing_performance_degradation,0
Initial_Climb,high_time_complacency,0
Landing,maintenance_induced_failure,16
Landing,aging_aircraft_degradation,14
Landing,checklist_non_compliance,12
Landing,plan_continuation_bias,9
Landing,task_saturation,6
Landing,low_time_in_type,6
Landing,incomplete_troubleshooting,5
Landing,assumption_of_performance,4
Landing,lapsed_recency,3
Landing,deferred_discrepancy_normalization,2
Landing,icing_performance_degradation,2
Landing,weight_balance_misjudgment,1
Landing,single_engine_performance_assumption,1
Landing,informal_or_incomplete_training,1
Landing,normalization_of_deviance,0
Landing,density_altitude_underestimation,0
Landing,high_time_complacency,0
Takeoff,checklist_non_compliance,5
Takeoff,plan_continuation_bias,3
Takeoff,maintenance_induced_failure,3
Takeoff,assumption_of_performance,2
Takeoff,density_altitude_underestimation,2
Takeoff,low_time_in_type,2
Takeoff,aging_aircraft_degradation,1
Takeoff,incomplete_troubleshooting,1
Takeoff,informal_or_incomplete_training,1
Takeoff,normalization_of_deviance,0
Takeoff,task_saturation,0
Takeoff,deferred_discrepancy_normalization,0
Takeoff,weight_balance_misjudgment,0
Takeoff,single_engine_performance_assumption,0
Takeoff,icing_performance_degradation,0
Takeoff,high_time_complacency,0
Takeoff,lapsed_recency,0
Taxi,aging_aircraft_degradation,4
Taxi,maintenance_induced_failure,2
Taxi,assumption_of_performance,1
Taxi,checklist_non_compliance,1
Taxi,task_saturation,1
Taxi,incomplete_troubleshooting,1
Taxi,deferred_discrepancy_normalization,1
Taxi,low_time_in_type,1
Taxi,normalization_of_deviance,0
Taxi,plan_continuation_bias,0
Taxi,weight_balance_misjudgment,0
Taxi,density_altitude_underestimation,0
Taxi,single_engine_performance_assumption,0
Taxi,icing_performance_degradation,0
Taxi,high_time_complacency,0
Taxi,lapsed_recency,0
Taxi,informal_or_incomplete_training,0
Unknown,normalization_of_deviance,0
Unknown,assumption_of_performance,0
Unknown,plan_continuation_bias,0
Unknown,checklist_non_compliance,0
Unknown,task_saturation,0
Unknown,aging_aircraft_degradation,0
Unknown,incomplete_troubleshooting,0
Unknown,deferred_discrepancy_normalization,0
Unknown,maintenance_induced_failure,0
Unknown,weight_balance_misjudgment,0
Unknown,density_altitude_underestimation,0
Unknown,single_engine_performance_assumption,0
Unknown,icing_performance_degradation,0
Unknown,low_time_in_type,0
Unknown,high_time_complacency,0
Unknown,lapsed_recency,0
Unknown,informal_or_incomplete_training,0
